epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,622.294,0.84269,0.74485,1.17494,0.73202,0.82012,0.86378,0.6115,1.02624,1.49171,1.15136,0.000612931,0.000612931,0.000612931
43,636.926,0.85765,0.74648,1.18349,0.71712,0.78025,0.86149,0.65346,0.92153,1.24873,1.10474,0.000609125,0.000609125,0.000609125
44,651.113,0.85051,0.74064,1.18156,0.67476,0.74285,0.8017,0.6103,1.04552,1.73659,1.15451,0.000605318,0.000605318,0.000605318
45,665.345,0.83612,0.74129,1.1681,0.72907,0.66421,0.77362,0.54698,1.25109,2.12187,1.29229,0.000601512,0.000601512,0.000601512
46,679.489,0.84643,0.73081,1.17029,0.69052,0.74462,0.83503,0.60669,0.98677,1.6821,1.18357,0.000597705,0.000597705,0.000597705
47,693.407,0.85241,0.72699,1.17974,0.78618,0.77225,0.86276,0.65372,0.9077,1.55456,1.1393,0.000593899,0.000593899,0.000593899
48,707.404,0.83425,0.71655,1.16354,0.76362,0.73452,0.83011,0.6013,1.02339,1.63646,1.16204,0.000590092,0.000590092,0.000590092
49,722.163,0.8367,0.73011,1.16178,0.70897,0.74876,0.86205,0.61852,1.0496,1.59992,1.18183,0.000586286,0.000586286,0.000586286
50,736.643,0.8093,0.69533,1.16174,0.78531,0.81839,0.89637,0.64586,1.00487,1.22663,1.16128,0.000582479,0.000582479,0.000582479
51,750.826,0.82144,0.70595,1.15883,0.71712,0.71311,0.80617,0.61036,0.92845,1.90934,1.11454,0.000578672,0.000578672,0.000578672
52,764.975,0.79807,0.7011,1.14652,0.81938,0.84881,0.91552,0.67957,0.95094,1.22376,1.10815,0.000574866,0.000574866,0.000574866
53,778.973,0.80763,0.69044,1.14319,0.80906,0.72906,0.84493,0.59301,1.21595,1.88252,1.26478,0.000571059,0.000571059,0.000571059
54,793.208,0.80419,0.67937,1.14689,0.8227,0.78226,0.86391,0.66481,0.91477,1.49099,1.08482,0.000567253,0.000567253,0.000567253
55,807.471,0.80546,0.66217,1.1418,0.79636,0.78539,0.86928,0.64109,0.98602,1.55322,1.12623,0.000563446,0.000563446,0.000563446
56,821.765,0.79585,0.65796,1.14448,0.76432,0.71263,0.85227,0.60933,1.11378,1.97033,1.19003,0.00055964,0.00055964,0.00055964
57,835.871,0.7939,0.67651,1.14025,0.78989,0.71051,0.81545,0.59808,1.10618,1.8376,1.17712,0.000555833,0.000555833,0.000555833
58,850.239,0.80115,0.66787,1.13886,0.79939,0.83993,0.90041,0.66373,0.97396,1.39697,1.10419,0.000552027,0.000552027,0.000552027
59,864.552,0.78119,0.66341,1.13895,0.80743,0.71499,0.84933,0.646,0.95052,1.60808,1.12235,0.00054822,0.00054822,0.00054822
60,878.907,0.78654,0.66314,1.14291,0.76942,0.83878,0.90925,0.6654,1.03951,1.39979,1.13542,0.000544414,0.000544414,0.000544414
61,893.245,0.77011,0.64991,1.12489,0.78955,0.82223,0.87955,0.64907,0.97822,1.50827,1.11579,0.000540607,0.000540607,0.000540607
62,907.62,0.78904,0.65313,1.12964,0.81041,0.76746,0.87871,0.65901,0.9685,1.49341,1.15039,0.0005368,0.0005368,0.0005368
63,921.848,0.76211,0.63179,1.12214,0.85539,0.76306,0.90814,0.66319,0.99353,1.59721,1.17327,0.000532994,0.000532994,0.000532994
64,935.876,0.74928,0.62645,1.11217,0.81292,0.79048,0.87862,0.66793,0.95161,1.36454,1.13883,0.000529187,0.000529187,0.000529187
65,950.003,0.76073,0.62887,1.1205,0.78456,0.66916,0.81448,0.60903,1.01669,1.92833,1.15734,0.000525381,0.000525381,0.000525381
66,964.089,0.74203,0.61088,1.1094,0.79417,0.78911,0.89354,0.68925,0.92535,1.50054,1.09536,0.000521574,0.000521574,0.000521574
67,978.592,0.74322,0.62897,1.1155,0.75244,0.76781,0.88235,0.65416,0.99663,1.62567,1.12369,0.000517768,0.000517768,0.000517768
68,992.847,0.75021,0.61917,1.12182,0.84921,0.78176,0.85666,0.66308,0.97182,1.56246,1.10499,0.000513961,0.000513961,0.000513961
69,1007.01,0.74548,0.63027,1.11113,0.77276,0.77646,0.85506,0.66722,0.8804,1.45827,1.10207,0.000510155,0.000510155,0.000510155
70,1021.26,0.74543,0.60994,1.10167,0.78269,0.68748,0.85108,0.64109,0.96541,1.82974,1.1311,0.000506348,0.000506348,0.000506348
71,1035.45,0.73974,0.61612,1.11197,0.84441,0.70828,0.8451,0.60737,1.12168,1.78655,1.16915,0.000502541,0.000502541,0.000502541
72,1049.55,0.73446,0.60644,1.10162,0.82081,0.82375,0.89031,0.677,0.91808,1.36375,1.07627,0.000498735,0.000498735,0.000498735
73,1063.83,0.72378,0.5969,1.09456,0.78345,0.79834,0.91873,0.67111,1.00904,1.30457,1.12349,0.000494928,0.000494928,0.000494928
74,1077.99,0.72487,0.59972,1.10311,0.80026,0.76525,0.87315,0.67371,0.90947,1.5519,1.07246,0.000491122,0.000491122,0.000491122
75,1092.22,0.71387,0.58517,1.0919,0.84228,0.77207,0.8851,0.65223,0.97666,1.43741,1.10342,0.000487315,0.000487315,0.000487315
76,1106.37,0.7245,0.59002,1.10154,0.80348,0.77623,0.87665,0.65058,1.00091,1.37861,1.12139,0.000483509,0.000483509,0.000483509
77,1120.5,0.71121,0.5765,1.08611,0.83263,0.80348,0.87996,0.68714,0.89402,1.38502,1.06956,0.000479702,0.000479702,0.000479702
78,1134.53,0.71126,0.58304,1.08876,0.82732,0.76573,0.86078,0.65738,0.95431,1.61517,1.11283,0.000475896,0.000475896,0.000475896
79,1148.85,0.70842,0.57136,1.0861,0.7969,0.71809,0.85632,0.61325,1.0283,1.7054,1.15627,0.000472089,0.000472089,0.000472089
80,1162.97,0.70379,0.56666,1.08234,0.78583,0.75594,0.84649,0.64953,0.9618,1.59727,1.13714,0.000468283,0.000468283,0.000468283
81,1177.06,0.68523,0.56488,1.08105,0.81739,0.77434,0.85149,0.65184,0.95527,1.49191,1.09457,0.000464476,0.000464476,0.000464476
82,1191.35,0.69968,0.57146,1.08344,0.81319,0.74495,0.8556,0.63202,1.07839,1.5404,1.17833,0.000460669,0.000460669,0.000460669
83,1205.56,0.69186,0.56544,1.0804,0.76938,0.77156,0.86448,0.63709,0.98646,1.50962,1.11298,0.000456863,0.000456863,0.000456863
84,1219.72,0.69361,0.56619,1.08373,0.74319,0.73466,0.80579,0.61282,0.91128,1.66744,1.10441,0.000453056,0.000453056,0.000453056
85,1233.99,0.67428,0.55829,1.0678,0.77707,0.77985,0.88997,0.65622,0.88374,1.5379,1.09346,0.00044925,0.00044925,0.00044925
86,1248.1,0.68806,0.56642,1.0804,0.82682,0.8091,0.90251,0.67322,0.9528,1.28713,1.12343,0.000445443,0.000445443,0.000445443
87,1262.23,0.68312,0.559,1.07584,0.85361,0.77305,0.88857,0.64447,0.94493,1.35171,1.10162,0.000441637,0.000441637,0.000441637
88,1276.44,0.68606,0.56035,1.07204,0.87883,0.76992,0.84836,0.63454,1.01133,1.61126,1.14891,0.00043783,0.00043783,0.00043783
89,1290.55,0.68055,0.56245,1.0657,0.80761,0.74586,0.84769,0.6371,1.02684,1.63159,1.13484,0.000434024,0.000434024,0.000434024
90,1304.88,0.67393,0.54524,1.07038,0.80415,0.77001,0.86906,0.66898,0.9017,1.46164,1.06969,0.000430217,0.000430217,0.000430217
91,1319.04,0.6823,0.54182,1.06671,0.85793,0.73493,0.8477,0.63104,0.96948,1.71698,1.13309,0.000426411,0.000426411,0.000426411
92,1333.4,0.66433,0.54932,1.06783,0.82501,0.80628,0.8767,0.66711,0.96836,1.38896,1.10571,0.000422604,0.000422604,0.000422604
93,1347.66,0.67176,0.54012,1.06861,0.81632,0.7627,0.87513,0.65549,1.04233,1.64933,1.17501,0.000418797,0.000418797,0.000418797
94,1361.81,0.66027,0.53916,1.06032,0.85203,0.74645,0.86643,0.67995,0.91966,1.59128,1.1186,0.000414991,0.000414991,0.000414991
95,1375.7,0.66983,0.53268,1.06586,0.84143,0.75598,0.85558,0.66038,0.90882,1.69845,1.11036,0.000411184,0.000411184,0.000411184
96,1389.77,0.65603,0.53565,1.06243,0.76922,0.82634,0.88195,0.67056,0.99758,1.41057,1.16036,0.000407378,0.000407378,0.000407378
97,1403.68,0.66103,0.53101,1.06353,0.80178,0.73118,0.84229,0.65683,0.91899,1.6224,1.10179,0.000403571,0.000403571,0.000403571
98,1417.62,0.65127,0.51387,1.06347,0.82501,0.69793,0.79442,0.62605,0.96133,1.95247,1.11728,0.000399765,0.000399765,0.000399765
99,1431.71,0.65282,0.51951,1.05704,0.83165,0.77905,0.86179,0.65749,0.91165,1.46273,1.10275,0.000395958,0.000395958,0.000395958
100,1445.56,0.64674,0.52173,1.0593,0.79933,0.7924,0.88232,0.6584,1.03812,1.41953,1.15101,0.000392152,0.000392152,0.000392152
101,1459.58,0.65263,0.52394,1.05951,0.85714,0.77408,0.85819,0.65064,1.00391,1.47734,1.13606,0.000388345,0.000388345,0.000388345
102,1473.56,0.64762,0.51789,1.06111,0.8592,0.8124,0.89132,0.67862,0.98972,1.43987,1.12994,0.000384538,0.000384538,0.000384538
103,1487.5,0.63855,0.52168,1.05033,0.82095,0.71764,0.83458,0.62455,1.05246,1.85379,1.18113,0.000380732,0.000380732,0.000380732
104,1501.33,0.63586,0.50533,1.0468,0.82013,0.68398,0.82614,0.63202,1.03277,1.88669,1.14822,0.000376925,0.000376925,0.000376925
105,1515.36,0.62684,0.50653,1.0517,0.80894,0.68237,0.82479,0.63232,0.98984,1.86711,1.09544,0.000373119,0.000373119,0.000373119
106,1529.31,0.62944,0.49949,1.04669,0.84462,0.72407,0.82059,0.63804,0.96236,1.76206,1.12335,0.000369312,0.000369312,0.000369312
107,1543.07,0.63007,0.51984,1.04866,0.80905,0.73233,0.85092,0.64202,1.01044,1.71816,1.14246,0.000365506,0.000365506,0.000365506
108,1557.04,0.63627,0.51248,1.04581,0.82101,0.71162,0.82882,0.6363,0.98607,1.76316,1.13168,0.000361699,0.000361699,0.000361699
109,1571.06,0.6181,0.48904,1.0383,0.80846,0.67108,0.80864,0.606,1.10861,1.93829,1.17018,0.000357893,0.000357893,0.000357893
110,1585.23,0.62363,0.49719,1.04058,0.80631,0.7373,0.81452,0.63208,0.94451,1.85412,1.09761,0.000354086,0.000354086,0.000354086
111,1599.12,0.61581,0.48775,1.04281,0.77271,0.63585,0.74734,0.59786,0.95654,2.16895,1.11344,0.00035028,0.00035028,0.00035028
112,1613.17,0.60717,0.48809,1.036,0.81213,0.68643,0.81612,0.64514,0.93479,1.82371,1.09297,0.000346473,0.000346473,0.000346473
113,1627.06,0.6053,0.48825,1.03218,0.80387,0.70662,0.82126,0.63313,0.99879,1.89359,1.14878,0.000342666,0.000342666,0.000342666
114,1641.11,0.60781,0.48495,1.03469,0.8046,0.72922,0.81919,0.64127,0.92921,1.88822,1.09737,0.00033886,0.00033886,0.00033886
115,1655.08,0.58686,0.46622,1.02512,0.83005,0.7567,0.84919,0.64213,0.98061,1.8496,1.12098,0.000335053,0.000335053,0.000335053
116,1668.92,0.59263,0.47184,1.02957,0.83571,0.70039,0.83088,0.64128,0.9561,1.9405,1.11834,0.000331247,0.000331247,0.000331247
