epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,578.685,0.84239,0.74899,1.18022,0.7122,0.74757,0.83073,0.60869,1.03152,1.61249,1.15061,0.00058539,0.00058539,0.00058539
43,592.052,0.8469,0.74969,1.18004,0.72144,0.82207,0.849,0.6133,1.04548,1.29062,1.18136,0.000580912,0.000580912,0.000580912
44,605.437,0.84371,0.73706,1.17661,0.78029,0.78209,0.86973,0.65713,0.92237,1.4493,1.09642,0.000576433,0.000576433,0.000576433
45,618.745,0.83225,0.72259,1.16646,0.68386,0.74663,0.8143,0.5885,1.1429,1.75536,1.16515,0.000571955,0.000571955,0.000571955
46,632.177,0.83981,0.71508,1.16631,0.76354,0.84806,0.87813,0.64349,0.91728,1.30727,1.1126,0.000567477,0.000567477,0.000567477
47,645.53,0.83685,0.71093,1.17166,0.77664,0.81551,0.88765,0.65412,1.05839,1.51868,1.14768,0.000562998,0.000562998,0.000562998
48,658.917,0.82562,0.69742,1.15967,0.71594,0.80123,0.855,0.63354,0.98904,1.53446,1.13841,0.00055852,0.00055852,0.00055852
49,672.364,0.82576,0.7145,1.15616,0.77264,0.77369,0.85741,0.64506,0.97068,1.59181,1.12822,0.000554042,0.000554042,0.000554042
50,685.766,0.8051,0.70584,1.15926,0.79474,0.83975,0.87704,0.64566,0.94236,1.41434,1.11311,0.000549564,0.000549564,0.000549564
51,699.2,0.81951,0.69931,1.15922,0.776,0.82887,0.89668,0.64855,1.057,1.35649,1.14856,0.000545085,0.000545085,0.000545085
52,712.573,0.79379,0.68744,1.14652,0.7385,0.75494,0.84004,0.64073,0.99902,1.70016,1.10656,0.000540607,0.000540607,0.000540607
53,726.059,0.79667,0.67604,1.1361,0.69561,0.76016,0.84706,0.60566,1.146,1.56704,1.1523,0.000536129,0.000536129,0.000536129
54,739.497,0.79187,0.68009,1.14361,0.8166,0.76337,0.86362,0.63984,0.97583,1.52332,1.11316,0.00053165,0.00053165,0.00053165
55,752.878,0.79876,0.665,1.14057,0.79662,0.72839,0.82471,0.59942,1.04002,1.90206,1.16781,0.000527172,0.000527172,0.000527172
56,766.311,0.77736,0.65337,1.13429,0.76239,0.78768,0.87444,0.61871,1.0533,1.56755,1.13118,0.000522694,0.000522694,0.000522694
57,779.617,0.78653,0.65763,1.13302,0.72881,0.75738,0.82842,0.61902,1.05052,1.70763,1.12437,0.000518216,0.000518216,0.000518216
58,792.984,0.78785,0.65055,1.13231,0.74863,0.80233,0.89061,0.67536,0.92421,1.32496,1.11106,0.000513737,0.000513737,0.000513737
59,806.507,0.76281,0.65103,1.12437,0.81148,0.72889,0.84049,0.63044,1.00108,1.70151,1.13296,0.000509259,0.000509259,0.000509259
60,819.846,0.77021,0.65071,1.13565,0.79599,0.79073,0.87069,0.65686,1.01832,1.39387,1.12541,0.000504781,0.000504781,0.000504781
