epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,947.393,0.82467,0.72775,1.16596,0.77675,0.83219,0.87654,0.656,0.92581,1.39879,1.11285,0.00058539,0.00058539,0.00058539
43,968.596,0.83841,0.718,1.17333,0.71417,0.84962,0.8652,0.62611,1.0916,1.23367,1.18861,0.000580912,0.000580912,0.000580912
44,989.869,0.83864,0.71693,1.1728,0.74377,0.82961,0.89807,0.66534,0.97673,1.41918,1.13453,0.000576433,0.000576433,0.000576433
45,1011.11,0.82677,0.70888,1.15677,0.67114,0.73722,0.82168,0.61288,1.06712,1.97119,1.19346,0.000571955,0.000571955,0.000571955
46,1032.24,0.82966,0.6933,1.16433,0.73513,0.76857,0.83123,0.6294,0.98789,1.68087,1.13838,0.000567477,0.000567477,0.000567477
47,1053.42,0.81772,0.68668,1.16053,0.78572,0.84395,0.88732,0.66507,0.97589,1.28894,1.1306,0.000562998,0.000562998,0.000562998
48,1074.65,0.8187,0.69129,1.15648,0.74682,0.79375,0.84698,0.63541,0.99583,1.5563,1.12667,0.00055852,0.00055852,0.00055852
49,1095.89,0.80847,0.70524,1.14583,0.76294,0.83046,0.90331,0.69682,0.869,1.25479,1.10381,0.000554042,0.000554042,0.000554042
50,1117.21,0.79169,0.67704,1.14723,0.76738,0.83931,0.88591,0.6721,0.90992,1.24939,1.1142,0.000549564,0.000549564,0.000549564
51,1138.35,0.79323,0.67036,1.1398,0.81255,0.81735,0.89346,0.66441,0.98345,1.4242,1.14739,0.000545085,0.000545085,0.000545085
52,1159.58,0.7734,0.66751,1.13251,0.76876,0.79298,0.85614,0.65166,0.94369,1.39165,1.13788,0.000540607,0.000540607,0.000540607
53,1180.74,0.7829,0.66624,1.12719,0.72447,0.7853,0.85272,0.62861,1.02132,1.55015,1.14895,0.000536129,0.000536129,0.000536129
54,1201.88,0.77022,0.64466,1.13,0.78943,0.80693,0.88734,0.64432,1.02359,1.53573,1.15078,0.00053165,0.00053165,0.00053165
55,1223,0.76928,0.64339,1.12589,0.73839,0.80979,0.8719,0.64397,0.92902,1.3809,1.14162,0.000527172,0.000527172,0.000527172
56,1244.16,0.75757,0.62927,1.124,0.76471,0.787,0.83363,0.59672,1.08066,1.54344,1.18461,0.000522694,0.000522694,0.000522694
57,1265.28,0.76548,0.63208,1.12166,0.69694,0.75662,0.81555,0.63086,0.91998,1.62934,1.09742,0.000518216,0.000518216,0.000518216
58,1286.32,0.7641,0.63676,1.11487,0.80053,0.81769,0.86607,0.67645,0.88587,1.36835,1.07472,0.000513737,0.000513737,0.000513737
59,1307.42,0.74818,0.63246,1.1115,0.8082,0.78725,0.86998,0.6546,0.97541,1.47444,1.13504,0.000509259,0.000509259,0.000509259
60,1328.55,0.75721,0.63731,1.12615,0.76146,0.82715,0.88085,0.66542,0.94778,1.18421,1.11605,0.000504781,0.000504781,0.000504781
61,1349.78,0.73362,0.61367,1.10408,0.76485,0.74561,0.8581,0.64455,0.98818,1.84176,1.15343,0.000500302,0.000500302,0.000500302
62,1371.11,0.74762,0.61315,1.10609,0.74215,0.76129,0.84933,0.6434,0.97271,1.60154,1.13651,0.000495824,0.000495824,0.000495824
